项目名,发布人,发布时间,项目状态,详情,抓取时间
市场/运营/线下活动策划/执行,北京磨刀刻石科技有限公司,2016-11-21 12:36:19,已完成,"招募一位专家策划发布会，并承担部分媒介执行等工作。

Mockingbot【墨刀】是一家先在美国上线，后迅速在中国市场爆发增长的“在线原型设计工具”公司，致力于简化产品制作和设计流程，让用户仅需十分钟设计一个app，帮助互联网企业更好的完成app的构思，制作，迭代和产品协同。
目前全球已有140个国家近35万名产品设计师选择并使用墨刀。
产品多次在人人都是产品经理，馒头商学院，PMcaff等专业产品经理论坛被推荐，更是被知乎和爱范儿的专业平台评为最受欢迎工具第一。

***
在2017年初，我们计划开一场媒体发布会，希望邀请足够多的媒体到场共同见证磨刀的新产品业务上线和之前取得的成绩，同时也是墨刀的品牌4周年。

可参考同类SaaS及企业级媒体发布会。

我们需要有以下条件的市场或运营人员协同举办活动：

1-有媒体资源，有pr或媒体背景者优先；
2-在年后有每周3天的时间可以去策划及落实活动；
3-做事专业细致，有自检流程，我们希望和有承诺能落地的人合作，一般情况都是线上协同和效果核对，希望执行者对自己的作品也有交代；
4-对墨刀有一定的认知；
5-3-5年工作经验，资深更佳。",2018-08-27 21:40:26.959402
设计/平面设计,北京唐谷慧聚营销咨询有限公司,2016-11-23 12:02:29,已完成,"互联网平台名片设计；
风格倾向轻巧，简洁，现代感。最好赋予一些亮点；
主体颜色为黑白黄，其次有绿灰可考虑选择加入（有具体颜色值）；
内容可能涉及：平台名、logo、slogan、二维码、员工姓名、企业地址、电话、邮箱等；
有一些认为不错的名片设计可提供参考，但主要希望设计师根据平台定位进行原创；
如需要，可提供上一版名片（不作为设计参考）；
如有印刷经验，希望能建议印刷纸张选择。",2018-08-27 21:40:26.977045
产品/产品经理,GYMI工作室（志愿者&义工）,2016-11-23 19:02:16,已完成,"功能说明：
在一款已有的做志愿者，义工的平台上嵌入保险产品功能，作为对现有流量的套现方式之一

产品形态：
在现有平台增加卖保险的入口，能在现有流程中，引导用户去购买；涉及PC端和APP端

人员要求：
1.有产品设计感觉和天赋，能理解分析用户需求，对用户的体验有所感知
2.逻辑清晰，整体流程设计完整且合理
3.对保险行业有一定了解，知道其运作方式
4.有一定的数据分析能力，能给出保险的定价",2018-08-27 21:40:26.981404
开发/前端开发,广州森成和信息技术有限公司,2016-11-24 11:05:13,已完成,"单页面web应用前端开发，主体功能是内容展示和分享/即时通信协同。

项目需求：页面分几大功能模块: 内容展示框、内容分页跳转栏、实时视频框栏、聊天窗口框、工具菜单栏、用户/房间信息展示栏、个人好友列表/房内用户列表、各类消息通知提示、弹窗框、表单等，页面整体布局必须符合响应式。

技能要求：
精通响应式设计、HTML5、CSS3，熟悉web/移动应用的交互开发，了解主流框架（如：Bootstrap，jQuery，angularjs等JS框架）。
工期预估全职3-4天，可以远程开发。",2018-08-27 21:40:27.006111
设计/平面设计,dofun,2016-11-24 10:26:54,已完成,"1.需要资深UI设计师、页面设计师，完成移动广告平台PC和移动端设计；
2.可快速对接项目 良好沟通能力与甲方对接方案。
3.对标可以参考www.inmobi.com www.ironsc.com www.glispa.com

要求工作地点：北京，可以随时面谈沟通；
前期针对首页进行设计，约5-6屏。",2018-08-27 21:40:27.014154
设计/交互设计,深圳市旭佳实业有限公司,2016-10-31 16:06:07,已完成,"公司打算做新网站，中英文+手机端适配；
一个以品牌为主展示主页，一个以推广销售为主的产品主页；
负责整个页面的规划、设计、交互设计等。",2018-08-27 21:40:27.036421
开发/前端开发,北京拉勾网络技术有限公司,2016-10-21 16:44:27,已完成,"1.项目背景：
 企业hr对于拉勾目前的商业化产品了解是未知的、对拉勾网基础产品的理解使用也是比较茫然的，基本是通过销售小伙伴口口相传，电话销售促进订单达成。基于帮助企业了解拉勾、了解拉勾商业化产品、了解招聘市场行业动态、了解哪些产品可以解决hr的招聘需求，最终达到促进销售成单转化机率。所以，我们要做线上商业化产品页面介绍、以及线下拉勾产品手册。
2.项目概述：
（1）将现有拉勾产品及目前hr的需求归纳整理，集合为页面，分别进行详细介绍，纯静态页面；
（2）支持用户填写表单咨询留言，表单提交的内容需要拉勾研发后续处理
（3）开发过程中涉及到接口随时沟通
（4）设计图需要在开发过程中逐步给出，28号提供一大波～
3.项目要求：
（1）精通HTML5，JavaScript ，css，grunt，jquery，gulp
（2）沟通能力强
（3）有相关项目经验",2018-08-27 21:40:27.045516
设计/UI设计,深圳酷竞科技有限公司,2016-10-27 16:59:59,已完成,"一 、项目描述：
一款基于微信的H5体育竞猜游戏的UI 设计, 产品现已上线（关注公众号：kujingtiyu 里面有游戏接口），公众号里有详细的介绍。 现需要升级UI。 

二 、可参考的风格和调性 ：
clutchpoint （app 版） 
goat (app版) 
draftking （app版) 

三、人员要求
1. 能分辨出是有质感，美感的设计
2.良好的沟通能力和契约精神 
3. 精通需要设计出有质感产品的技术",2018-08-27 21:40:27.050614
设计/平面设计,新氧,2016-11-02 12:15:03,已完成,"行业趣味白皮书长图
要求：
1.有趣，设计感强，有自我设计想法。 
2.具备手绘能绘制卡通人物。有白皮书设计经验者优先。",2018-08-27 21:40:27.080901
开发/微信开发,北京微刻时光科技有限公司,2016-11-05 23:00:48,已完成,"希望能够找一位工程师帮我做一个小程序开发。
1，懂得小程序开发
2，具有一定得审美，完成简单的UI/UE设计",2018-08-27 21:40:27.135455
市场/运营/创意方案/执行,一颗赛艇（北京）公关顾问有限公司,2016-11-11 17:02:48,已完成,"企业客户APP和品牌推广，需要一个整合线上线下的宣传方案，及一场发布会的策划。
1. 在指定商圈的具体推广策略
2. 线上传播创意和传播规划
3. 线下发布会",2018-08-27 21:40:27.142417
设计/UI设计,深圳市乐有家网络科技有限公司,2016-11-12 15:28:32,已完成,"现有站点尝试小改版，优化一下视觉效果
欲寻找一位优秀的设计师，协助我们完成此次工作。
要求：
1、有个网页设计经验，有电商类网站设计案例的为佳；
2、能提供清晰的尺寸标注；
3、基于已有站点的色彩和风格进行设计；
4、沟通理解能力强，能与我方很好的就业务现实进行沟通，期待有合理化建议。",2018-08-27 21:40:27.160654
开发/Web网站开发,酷九,2016-11-11 11:38:57,已完成,"企业展示类网站
图片设计、交互设计稿、文件说明我们提供；
人员要求：开发经验丰富，需要熟练用bootstrape，wordpress
参考网站：部分网站国外需要翻墙
类似这样滑动效果：
http://ieg.tencent.com/hr/marketer.html
http://www.revolution.pn/
http://www.sparkbit.pl/
后续会有很多网站APP设计需求，价格可谈。",2018-08-27 21:40:27.166509
开发/微信开发,时光荏苒文化传播,2016-11-14 09:06:21,已完成,"影视演员培训机构公众号开发
需要能展示公司基本信息，定时更新影视资讯等内容。
希望在有专家可以尽快帮助完成",2018-08-27 21:40:27.181716
市场/运营/SEM,尚志,2016-11-16 01:06:39,已完成,招募一位资深sem专家，提供一套旅游+婚纱摄影类服务的SEM优化方案，在单个咨询成本增长不高的情况，提升咨询量；’并指导SEM营人员日常工作的优化，实现提高ROI的目的。,2018-08-27 21:40:27.212348
设计/UI设计,北京一席话文化传媒有限公司,2016-11-15 17:59:14,已完成,"一、项目描述：

“一席”视频、音频等内容产品的手机App设计，包括iOS（含IPAD)和Android两端，一席的视频、音频等内容观看与收听延伸到手机屏幕，成为用户更方便舒适的观看一席的内容而开发的传播载体。

二、APP 架构和主要功能点：
APP 主要有 “节目”、“发现”、“活动”、“我的”等页面：

[节目]-节目展示；
[发现] - 包含标签化检索内容等；
[活动] - 一席文章与活动的发布，；
[我的] - 包含个人资料修改、收藏的演讲等；

·视频播放、缓存、收藏、分享、离线保存；
·账号登录；
·内容检索，标签检索；
·活动消息的发布；
·流量提醒、清空缓存、在有WIFI的情况下自动缓存；
·消息通知与推送、登录注册。

三、可参考产品：

开眼、TED的APP

四、人员要求：

1、有视频内容类App设计经验；
2、良好的沟通能力和契约精神。",2018-08-27 21:40:27.227404
开发/APP开发,gogo车吧,2016-11-15 18:37:17,已完成,App在接收到推送消息后，可以自动播报语音内容，类似于滴滴的司机版本，在街道推送的订单后会自动播报里面的内容，即使App当前进程处于非激活状态；,2018-08-27 21:40:27.236248
设计/平面设计,北京拉勾网络技术有限公司,2016-09-27 19:12:10,已完成,"1. 项目：制作一个带互动的H5，大概6-7页，可提供原型图
2. 需要参考活动主视觉及文案衍生出一个轻松活泼的H5设计
3. 十一期间完成设计工作",2018-08-27 21:40:27.472962
设计/其他设计,广州楚尼科技有限公司,2016-11-16 04:18:15,已完成,"1.制作人数没有要求 制作风格要统一 
2.东西主要是发布会上用的

主要内容是：美化ppt，优化部分文案
科技范，简洁范",2018-08-27 21:40:27.477785
市场/运营/线上活动策划/执行,北京指猴网络科技有限公司,2016-09-13 16:18:38,已完成,"一、项目描述
创意型、事件型营销项目策划、创意。挖掘用户痛点, 围绕产品特色和品牌形象，制定出符合产品调性的创新营销方案，面向用户和行业有效传播；
二、主要功能点：
独立完成项目方案，创意可行性，易传播性，引发讨论和自传播
三、可参考案例：
全民突击-吴亦凡入伍H5
杜蕾斯营销案例
“百元哥”、“犀利哥”等炒作案例
四、人员要求：
1.优秀的市场活动策划能力、PPT阐述能力，创意能力突出，逻辑能力强，思维活跃，熟悉创新媒体的营销方式 ；
2.对线上互联网行业的新方式新手段新玩法保持高度敏感，制定品牌、产品的创新推广手段，包括但不限于微博、微信、贴吧、自媒体等传播方式和资源；
3.熟悉品牌及市场推广的策划、统筹、执行、监督等流程管理，成功操控过品牌策划和活动策划案例者优先；",2018-08-27 21:40:27.484071
市场/运营/文案写作,成都云遥互动科技有限公司（抹茶美妆）,2016-10-19 11:41:45,已完成,"需要根据这个事件帮忙写一个PR通稿。
1、受众对象：化妆品牌方
2、目的：通过介绍网红营销、短视频营销的整合营销方案的广告落地，吸引更多受众对象关注，以期有更多的合作伙伴找我们谈合作事宜。
3、文章方向：以分享干货为主，传统广告推广与短视频产品介绍方案对比，突出短视频在内容上，及传播上的优越性；以抹茶美妆这个营销案例作为案例辅助。
4、Dior活动介绍：
（1）、Dior柔光气垫首发，在抹茶美妆开屏页和首页banner位做了硬广推荐
（2）、抹茶美妆为其选了三个达人，拍摄了三段短视频，对产品本身做了详尽的介绍，吸引用户购买。
5、引申的内容：
（1）、抹茶美妆致力于美妆网红经济，深耕PGC短视频，有自己的专业的视频团队，能提供产品整合营销营销、代拍短视频等相关服务。
6、人员要求：
对网红营销、短视频营销有自己独到的简介；文章少一些软文风格，多一些干货分享。
7、其他：
视频资料：
格格fan：http://v.immocha.com/2426035/1280x720/1475129568293.mp4
Vanessa_娜萨酱：http://v.immocha.com/2426035/1280x720/1475053024753.mp4
三三子_coco：http://v.immocha.com/2426035/1280x720/1474862811659.mp4",2018-08-27 21:40:27.499402
